"Stkcd","Trdmnt","Mnshrtrd","Mnvaltrd","Msmvosd"
"000488","2015-08","776889839","6393162130.7799997","7602656.1900000004"
"000488","2015-07","1187321489","9345564821.8400002","8972902.3599999994"
"000488","2015-06","1050291417","11935548945.870001","9912184.0199999996"
"000488","2015-05","1043973055","10920583286.530001","11912301.41"
"000488","2015-04","1159775410","9907558875.6200008","10133191.460000001"
"000488","2015-03","690783413","4787780320.5699997","7945217.7300000004"
"000488","2015-02","228764652","1479322140.05","7414799.8600000003"
"000488","2015-01","688689471","4533112800.9200001","7359548"
"000488","2014-12","989040559","5812471001.5","6818079.75"
"000488","2014-11","334367228","1704157650.45","5823546.2400000002"
"000488","2014-10","319267702","1535026313.0699999","5425732.8300000001"
"000488","2014-09","287100775","1373339925.3","5591488.4199999999"
"000513","2019-08","239769473","6612932678.4499998","17033849.52"
"000513","2019-07","124622321","3315974821.2600002","15141952.369999999"
"000513","2019-06","71665817","2223940746.6900001","15208314.25"
"000513","2019-05","90308566","2982358665.2800002","14227733.67"
"000513","2019-04","120330080","4197195487.9699998","15643633.74"
"000513","2019-03","172492464","6069358199.8199997","16033120.810000001"
"000513","2019-02","127403825","3861068695.0500002","15328533.109999999"
"000513","2019-01","117923379","3096644881.25","12450709.859999999"
"000513","2018-12","116397767","3326843846","11525040.59"
"000513","2018-11","116550009","3750285108.3699999","15080167.16"
"000513","2018-10","108591295","3105119192.0700002","13208304.220000001"
"000513","2018-09","72390441","2545515381.8499999","15505798.58"
"000513","2018-08","103835335","4116329217.8099999","17565305.48"
"000513","2018-07","118702922","5452202890.3699999","20499499.98"
"000513","2018-06","79725861","4531898749.71","20178119.239999998"
"000513","2018-05","106355466","7549270705.1499996","23806518.010000002"
"000513","2018-04","99748337","7022750775","24140818.82"
"000513","2018-03","125533391","9184618020.2199993","25298112.219999999"
"000513","2018-02","74842434","5132770002.6099997","23862461.77"
"000513","2018-01","166058268","12388549224.26","25580363.879999999"
"000513","2017-12","127239819","8550209906.7399998","23124442.649999999"
"000513","2017-11","180515980","12597339394.75","21499293.699999999"
"000513","2017-10","106745942","6406873783.9300003","22257928.539999999"
"000513","2017-09","58922722","2908402366.52","17643479.940000001"
"000513","2017-08","54378961","2702712743.3600001","15223142.029999999"
"000513","2017-07","45661655","2397490805.6100001","15074260.439999999"
"000513","2017-06","60500779","3943494717.3600001","16248134.470000001"
"000513","2017-05","44439074","2709269460.9899998","14772288.9"
"000513","2017-04","45762504","2723189762.4200001","14187318.67"
"000513","2017-03","47973667","2648783857.0999999","13256628.310000001"
"000513","2017-02","40023204","2284969634.4400001","12858198.619999999"
"000513","2017-01","15877953","922964330.89999998","13564844.17"
"000513","2016-12","37644892","2179849429.54","14027799.49"
"000513","2016-11","49333415","2901003169.79","13859330.130000001"
"000513","2016-10","43534557","2490609693.46","13645241.01"
